original_City,original_Country,lat,lon,formatted,district,postcode,city,county,county_code,state_code,state,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
Sunderland,United Kingdom,54.9058512,-1.3828727,"yes (Sunderland), ENG, United Kingdom",yes,,Sunderland,North East,,ENG,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Palermo,Italy,38.1112268,13.3524434,"Palermo, PA, Italy",,,Palermo,Palermo,PA,SIC,Sicily,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Iași,Romania,47.1615598,27.5837814,"Iași, Romania",,,Iași,Iași,,,,Romania,ro,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Plovdiv,Bulgaria,42.1418541,24.7499297,"4000 Plovdiv, Bulgaria",,4000,Plovdiv,Plovdiv,,,Plovdiv,Bulgaria,bg,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Zurich,Switzerland,47.3744489,8.5410422,"Zurich, Switzerland",,8000–8099,Zurich,District Zurich,,,Zurich,Switzerland,ch,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Toulouse,France,43.6044638,1.4442433,"Toulouse, OCC, France",,,Toulouse,Haute-Garonne,,OCC,Occitania,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Palermo,Italy,38.1112268,13.3524434,"Palermo, PA, Italy",,,Palermo,Palermo,PA,SIC,Sicily,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Málaga,Spain,36.7213028,-4.4216366,"Málaga, AN, Spain",,,Málaga,Málaga-Costa del Sol,,AN,Andalusia,Spain,es,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nottingham Urban Area,United Kingdom,39.756769,-75.969467,"East Nottingham Township, PA, United States of America",,,East Nottingham Township,Chester County,,PA,Pennsylvania,United States,us,0.3969,0.3969,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Zurich,Switzerland,47.3744489,8.5410422,"Zurich, Switzerland",,8000–8099,Zurich,District Zurich,,,Zurich,Switzerland,ch,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Strasbourg,France,48.584614,7.7507127,"Strasbourg, GES, France",,,Strasbourg,Bas-Rhin,,GES,Grand Est,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Zurich,Switzerland,47.3744489,8.5410422,"Zurich, Switzerland",,8000–8099,Zurich,District Zurich,,,Zurich,Switzerland,ch,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Málaga,Spain,36.7213028,-4.4216366,"Málaga, AN, Spain",,,Málaga,Málaga-Costa del Sol,,AN,Andalusia,Spain,es,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nottingham Urban Area,United Kingdom,39.756769,-75.969467,"East Nottingham Township, PA, United States of America",,,East Nottingham Township,Chester County,,PA,Pennsylvania,United States,us,0.3969,0.3969,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Leipzig,Germany,51.3406321,12.3747329,"Leipzig, SN, Germany",,,Leipzig,,,SN,Saxony,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cardiff,United Kingdom,51.4816546,-3.1791934,"Cardiff, CF10 2AF, United Kingdom",,CF10 2AF,Cardiff,Cardiff,CRF,WLS,Wales,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Stuttgart,Germany,48.7784485,9.1800132,"Stuttgart, BW, Germany",,,Stuttgart,,,BW,Baden-Württemberg,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Stuttgart,Germany,48.7784485,9.1800132,"Stuttgart, BW, Germany",,,Stuttgart,,,BW,Baden-Württemberg,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kraków County,Poland,50.099922250000006,19.707756775328058,"Kraków County, Poland",,,,Kraków County,,MA,Lesser Poland Voivodeship,Poland,pl,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kraków County,Poland,50.099922250000006,19.707756775328058,"Kraków County, Poland",,,,Kraków County,,MA,Lesser Poland Voivodeship,Poland,pl,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Stuttgart,Germany,48.7784485,9.1800132,"Stuttgart, BW, Germany",,,Stuttgart,,,BW,Baden-Württemberg,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Craiova,Romania,44.3190159,23.7965614,"Craiova, Romania",,,Craiova,Dolj,,,,Romania,ro,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Milan,Italy,45.4641943,9.1896346,"Milan, LOM, Italy",,,Milan,Milan,,LOM,Lombardy,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bologna,Italy,44.4938203,11.3426327,"Bologna, BO, Italy",,,Bologna,Bologna,BO,EMI,Emilia-Romagna,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bologna,Italy,44.4938203,11.3426327,"Bologna, BO, Italy",,,Bologna,Bologna,BO,EMI,Emilia-Romagna,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Venice,Italy,45.4371908,12.3345898,"Venice, VE, Italy",,30121-30176,Venice,Venezia,VE,VEN,Veneto,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Aix-en-Provence,France,43.5298424,5.4474738,"Aix-en-Provence, PAC, France",,,Aix-en-Provence,Bouches-du-Rhône,,PAC,Provence-Alpes-Côte d'Azur,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Plovdiv,Bulgaria,42.1418541,24.7499297,"4000 Plovdiv, Bulgaria",,4000,Plovdiv,Plovdiv,,,Plovdiv,Bulgaria,bg,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Aix-en-Provence,France,43.5298424,5.4474738,"Aix-en-Provence, PAC, France",,,Aix-en-Provence,Bouches-du-Rhône,,PAC,Provence-Alpes-Côte d'Azur,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lublin,Poland,51.250559,22.5701022,"Lublin, LU, Poland",,,Lublin,,,LU,Lublin Voivodeship,Poland,pl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cardiff,United Kingdom,51.4816546,-3.1791934,"Cardiff, CF10 2AF, United Kingdom",,CF10 2AF,Cardiff,Cardiff,CRF,WLS,Wales,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Aix-en-Provence,France,43.5298424,5.4474738,"Aix-en-Provence, PAC, France",,,Aix-en-Provence,Bouches-du-Rhône,,PAC,Provence-Alpes-Côte d'Azur,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cardiff,United Kingdom,51.4816546,-3.1791934,"Cardiff, CF10 2AF, United Kingdom",,CF10 2AF,Cardiff,Cardiff,CRF,WLS,Wales,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Aix-en-Provence,France,43.5298424,5.4474738,"Aix-en-Provence, PAC, France",,,Aix-en-Provence,Bouches-du-Rhône,,PAC,Provence-Alpes-Côte d'Azur,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cardiff,United Kingdom,51.4816546,-3.1791934,"Cardiff, CF10 2AF, United Kingdom",,CF10 2AF,Cardiff,Cardiff,CRF,WLS,Wales,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cardiff,United Kingdom,51.4816546,-3.1791934,"Cardiff, CF10 2AF, United Kingdom",,CF10 2AF,Cardiff,Cardiff,CRF,WLS,Wales,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cardiff,United Kingdom,51.4816546,-3.1791934,"Cardiff, CF10 2AF, United Kingdom",,CF10 2AF,Cardiff,Cardiff,CRF,WLS,Wales,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Plovdiv,Bulgaria,42.1418541,24.7499297,"4000 Plovdiv, Bulgaria",,4000,Plovdiv,Plovdiv,,,Plovdiv,Bulgaria,bg,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cardiff,United Kingdom,51.4816546,-3.1791934,"Cardiff, CF10 2AF, United Kingdom",,CF10 2AF,Cardiff,Cardiff,CRF,WLS,Wales,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Belfast,United Kingdom,54.596391,-5.9301829,"Belfast, NIR, United Kingdom",,,Belfast,,,NIR,Northern Ireland,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lublin,Poland,51.250559,22.5701022,"Lublin, LU, Poland",,,Lublin,,,LU,Lublin Voivodeship,Poland,pl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lublin,Poland,51.250559,22.5701022,"Lublin, LU, Poland",,,Lublin,,,LU,Lublin Voivodeship,Poland,pl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Münster,Germany,51.9625101,7.6251879,"Münster, NW, Germany",,,Münster,,,NW,North Rhine-Westphalia,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Aix-en-Provence,France,43.5298424,5.4474738,"Aix-en-Provence, PAC, France",,,Aix-en-Provence,Bouches-du-Rhône,,PAC,Provence-Alpes-Côte d'Azur,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sunderland,United Kingdom,54.9058512,-1.3828727,"yes (Sunderland), ENG, United Kingdom",yes,,Sunderland,North East,,ENG,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Wakefield,United Kingdom,53.6829541,-1.4967286,"Wakefield, ENG, United Kingdom",,,Wakefield,West Yorkshire,,ENG,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Amsterdam,Netherlands,52.3730796,4.8924534,"Amsterdam, NH, Netherlands",,,Amsterdam,,,NH,North Holland,Netherlands,nl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Münster,Germany,51.9625101,7.6251879,"Münster, NW, Germany",,,Münster,,,NW,North Rhine-Westphalia,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sunderland,United Kingdom,54.9058512,-1.3828727,"yes (Sunderland), ENG, United Kingdom",yes,,Sunderland,North East,,ENG,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Amsterdam,Netherlands,52.3730796,4.8924534,"Amsterdam, NH, Netherlands",,,Amsterdam,,,NH,North Holland,Netherlands,nl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lublin,Poland,51.250559,22.5701022,"Lublin, LU, Poland",,,Lublin,,,LU,Lublin Voivodeship,Poland,pl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cardiff,United Kingdom,51.4816546,-3.1791934,"Cardiff, CF10 2AF, United Kingdom",,CF10 2AF,Cardiff,Cardiff,CRF,WLS,Wales,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Craiova,Romania,44.3190159,23.7965614,"Craiova, Romania",,,Craiova,Dolj,,,,Romania,ro,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Craiova,Romania,44.3190159,23.7965614,"Craiova, Romania",,,Craiova,Dolj,,,,Romania,ro,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Craiova,Romania,44.3190159,23.7965614,"Craiova, Romania",,,Craiova,Dolj,,,,Romania,ro,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Craiova,Romania,44.3190159,23.7965614,"Craiova, Romania",,,Craiova,Dolj,,,,Romania,ro,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Craiova,Romania,44.3190159,23.7965614,"Craiova, Romania",,,Craiova,Dolj,,,,Romania,ro,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Amsterdam,Netherlands,52.3730796,4.8924534,"Amsterdam, NH, Netherlands",,,Amsterdam,,,NH,North Holland,Netherlands,nl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Aix-en-Provence,France,43.5298424,5.4474738,"Aix-en-Provence, PAC, France",,,Aix-en-Provence,Bouches-du-Rhône,,PAC,Provence-Alpes-Côte d'Azur,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Amsterdam,Netherlands,52.3730796,4.8924534,"Amsterdam, NH, Netherlands",,,Amsterdam,,,NH,North Holland,Netherlands,nl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Münster,Germany,51.9625101,7.6251879,"Münster, NW, Germany",,,Münster,,,NW,North Rhine-Westphalia,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Stuttgart,Germany,48.7784485,9.1800132,"Stuttgart, BW, Germany",,,Stuttgart,,,BW,Baden-Württemberg,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cardiff,United Kingdom,51.4816546,-3.1791934,"Cardiff, CF10 2AF, United Kingdom",,CF10 2AF,Cardiff,Cardiff,CRF,WLS,Wales,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Amsterdam,Netherlands,52.3730796,4.8924534,"Amsterdam, NH, Netherlands",,,Amsterdam,,,NH,North Holland,Netherlands,nl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lublin,Poland,51.250559,22.5701022,"Lublin, LU, Poland",,,Lublin,,,LU,Lublin Voivodeship,Poland,pl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Stuttgart,Germany,48.7784485,9.1800132,"Stuttgart, BW, Germany",,,Stuttgart,,,BW,Baden-Württemberg,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Toulouse,France,43.6044622,1.4442469,"Toulouse, OCC, France",,,Toulouse,Haute-Garonne,,OCC,Occitania,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Stuttgart,Germany,48.7784485,9.1800132,"Stuttgart, BW, Germany",,,Stuttgart,,,BW,Baden-Württemberg,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Stuttgart,Germany,48.7784485,9.1800132,"Stuttgart, BW, Germany",,,Stuttgart,,,BW,Baden-Württemberg,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lublin,Poland,51.250559,22.5701022,"Lublin, LU, Poland",,,Lublin,,,LU,Lublin Voivodeship,Poland,pl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Toulouse,France,43.6044638,1.4442433,"Toulouse, OCC, France",,,Toulouse,Haute-Garonne,,OCC,Occitania,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Wakefield,United Kingdom,53.6829541,-1.4967286,"Wakefield, ENG, United Kingdom",,,Wakefield,West Yorkshire,,ENG,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lublin,Poland,51.250559,22.5701022,"Lublin, LU, Poland",,,Lublin,,,LU,Lublin Voivodeship,Poland,pl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Amsterdam,Netherlands,52.3730796,4.8924534,"Amsterdam, NH, Netherlands",,,Amsterdam,,,NH,North Holland,Netherlands,nl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Münster,Germany,51.9625101,7.6251879,"Münster, NW, Germany",,,Münster,,,NW,North Rhine-Westphalia,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Amsterdam,Netherlands,52.3730796,4.8924534,"Amsterdam, NH, Netherlands",,,Amsterdam,,,NH,North Holland,Netherlands,nl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Amsterdam,Netherlands,52.3730796,4.8924534,"Amsterdam, NH, Netherlands",,,Amsterdam,,,NH,North Holland,Netherlands,nl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lublin,Poland,51.250559,22.5701022,"Lublin, LU, Poland",,,Lublin,,,LU,Lublin Voivodeship,Poland,pl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Münster,Germany,51.9625101,7.6251879,"Münster, NW, Germany",,,Münster,,,NW,North Rhine-Westphalia,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Glasgow,United Kingdom,55.861155,-4.2501687,"Glasgow, GLG, SCT, United Kingdom",,G2 1AL,Glasgow,Glasgow City,GLG,SCT,Scotland,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Aix-en-Provence,France,43.5298424,5.4474738,"Aix-en-Provence, PAC, France",,,Aix-en-Provence,Bouches-du-Rhône,,PAC,Provence-Alpes-Côte d'Azur,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Utrecht,Netherlands,52.0907006,5.1215634,"Utrecht, UT, Netherlands",,,Utrecht,,,UT,Utrecht,Netherlands,nl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lublin,Poland,51.250559,22.5701022,"Lublin, LU, Poland",,,Lublin,,,LU,Lublin Voivodeship,Poland,pl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Münster,Germany,51.9625101,7.6251879,"Münster, NW, Germany",,,Münster,,,NW,North Rhine-Westphalia,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Wakefield,United Kingdom,53.6829541,-1.4967286,"Wakefield, ENG, United Kingdom",,,Wakefield,West Yorkshire,,ENG,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Amsterdam,Netherlands,52.3730796,4.8924534,"Amsterdam, NH, Netherlands",,,Amsterdam,,,NH,North Holland,Netherlands,nl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Szczecin,Poland,53.4301818,14.5509623,"Szczecin, ZP, Poland",,,Szczecin,,,ZP,West Pomeranian Voivodeship,Poland,pl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Karlsruhe,Germany,49.0068705,8.4034195,"Karlsruhe, BW, Germany",,,Karlsruhe,,,BW,Baden-Württemberg,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Munich,Germany,48.1371079,11.5753822,"Munich, BY, Germany",,,Munich,,,BY,Bavaria,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Greater Manchester,United Kingdom,53.471419,-2.244834,"Manchester, SLF, ENG, United Kingdom",,,Manchester,Salford,SLF,ENG,England,United Kingdom,gb,0.5,0.5,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Greater Manchester,United Kingdom,53.471419,-2.244834,"Manchester, SLF, ENG, United Kingdom",,,Manchester,Salford,SLF,ENG,England,United Kingdom,gb,0.5,0.5,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Greater Manchester,United Kingdom,53.471419,-2.244834,"Manchester, SLF, ENG, United Kingdom",,,Manchester,Salford,SLF,ENG,England,United Kingdom,gb,0.5,0.5,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Belfast,United Kingdom,54.596391,-5.9301829,"Belfast, NIR, United Kingdom",,,Belfast,,,NIR,Northern Ireland,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Greater Manchester,United Kingdom,53.471419,-2.244834,"Manchester, SLF, ENG, United Kingdom",,,Manchester,Salford,SLF,ENG,England,United Kingdom,gb,0.5,0.5,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Greater Manchester,United Kingdom,53.471419,-2.244834,"Manchester, SLF, ENG, United Kingdom",,,Manchester,Salford,SLF,ENG,England,United Kingdom,gb,0.5,0.5,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Greater Manchester,United Kingdom,53.471419,-2.244834,"Manchester, SLF, ENG, United Kingdom",,,Manchester,Salford,SLF,ENG,England,United Kingdom,gb,0.5,0.5,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
